2023-05-07 06:59:05,AtomSpam,url,https://cbsbank.top,#phishing,https://twitter.com/AtomSpam/status/1655104950064562176
2023-05-07 07:03:08,AtomSpam,url,http://clck.ru/34L3iJ,#phishing,https://twitter.com/AtomSpam/status/1655105971268583424
2023-05-07 07:09:06,AtomSpam,url,http://www.smbc-jp.club,#phishing,https://twitter.com/AtomSpam/status/1655107471256567808
2023-05-07 07:48:06,noladefense,url,https://amsoreacc.com/all/login.php?idsmt=10123005600&amp;nextfunck=10130550000,#phishing,https://twitter.com/noladefense/status/1655117288268234753
2023-05-07 07:48:06,noladefense,ip,107.174.228.38,#phishing,https://twitter.com/noladefense/status/1655117288268234753
2023-05-07 07:49:03,AtomSpam,url,http://cartellino.icom-srl.com/updatenow/browse/login,#phishing,https://twitter.com/AtomSpam/status/1655117525338734593
2023-05-07 07:53:15,AtomSpam,url,http://dbspry1.top,#phishing,https://twitter.com/AtomSpam/status/1655118584950013952
2023-05-07 08:03:13,noladefense,url,https://discord-nitro-give.ru,#phishing,https://twitter.com/noladefense/status/1655121091969384453
2023-05-07 08:20:06,AtomSpam,url,https://metamaskwallet.cc,#phishing,https://twitter.com/AtomSpam/status/1655125340597919744
2023-05-07 08:29:04,AtomSpam,url,https://dbspry2.life/index.php,#phishing,https://twitter.com/AtomSpam/status/1655127597926215680
2023-05-07 08:33:34,AtomSpam,url,https://axa-connexion.fr,#phishing,https://twitter.com/AtomSpam/status/1655128729687924737
2023-05-07 08:40:02,dnstwist,domain,wwwslack.com,#phishing,https://twitter.com/dnstwist/status/1655130355219808256
2023-05-07 08:49:04,AtomSpam,url,https://mymitemaskz.com/impo/logz/,#phishing,https://twitter.com/AtomSpam/status/1655132629174198272
2023-05-07 09:01:06,AP_Zenmashi,url,https://bineacn.net,#phishing,https://twitter.com/AP_Zenmashi/status/1655135656388202496
2023-05-07 09:01:06,AP_Zenmashi,ip,14.128.34.133,#phishing,https://twitter.com/AP_Zenmashi/status/1655135656388202496
2023-05-07 09:09:07,AtomSpam,url,https://yep.pt/uU6Co,#phishing,https://twitter.com/AtomSpam/status/1655137673630162949
2023-05-07 09:11:57,AtomSpam,url,https://elba-23atmein-5245.builderallwppro.com/ars/gal/ban/,#phishing,https://twitter.com/AtomSpam/status/1655138387479744512
2023-05-07 09:13:47,drb_ra,ip,101.43.165.220,#CobaltStrike,https://twitter.com/drb_ra/status/1655138850648346627
2023-05-07 09:13:47,drb_ra,url,https://service-kboespoo-1317138495.gz.apigw.tencentcs.com/tab_home,#CobaltStrike,https://twitter.com/drb_ra/status/1655138850648346627
2023-05-07 09:13:48,drb_ra,url,https://106.55.180.173/dpixel,#CobaltStrike,https://twitter.com/drb_ra/status/1655138854985146368
2023-05-07 09:13:48,drb_ra,ip,106.55.180.173,#CobaltStrike,https://twitter.com/drb_ra/status/1655138854985146368
2023-05-07 09:13:52,drb_ra,url,https://service-kboespoo-1317138495.gz.apigw.tencentcs.com/ms,#CobaltStrike,https://twitter.com/drb_ra/status/1655138872060178434
2023-05-07 09:14:16,drb_ra,ip,82.157.110.128,#CobaltStrike,https://twitter.com/drb_ra/status/1655138972979347456
